CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
828063644,11/25/16,18:00:00,11/25/16,18:03:00,11/25/16,106,FELONY ASSAULT,106,"ASSAULT 2,1,PEACE OFFICER",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,113,OPPOSITE OF,STREET,,,1042726,185011,40.6743043,-73.78919156,"(40.674304295, -73.789191563)"
299183014,12/12/16,11:30:00,12/12/16,11:40:00,12/12/16,106,FELONY ASSAULT,105,STRANGULATION 1ST,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,73,INSIDE,RESIDENCE - APT. HOUSE,,,1008906,184979,40.67437525,-73.9111149,"(40.674375254, -73.911114896)"
541020155,11/5/16,8:25:00,11/5/16,8:30:00,11/5/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,75,INSIDE,RESIDENCE - APT. HOUSE,,,1019147,185010,40.6744259,-73.87419528,"(40.674425897, -73.87419528)"
932540206,12/23/16,10:00:00,12/23/16,10:06:00,12/23/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,106,INSIDE,CANDY STORE,,,1039066,185057,40.67445397,-73.80238569,"(40.674453973, -73.802385688)"
855191275,11/19/16,11:50:00,11/19/16,12:10:00,11/19/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,106,INSIDE,GROCERY/BODEGA,,,1038635,185106,40.67459113,-73.80393907,"(40.674591125, -73.803939073)"
714443120,12/10/16,21:45:00,12/10/16,22:30:00,12/19/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,75,INSIDE,RESIDENCE - APT. HOUSE,,,1021957,185102,40.67466689,-73.86406453,"(40.674666893, -73.864064531)"
864375991,11/29/16,17:00:00,11/29/16,17:10:00,11/29/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,77,INSIDE,RESIDENCE - APT. HOUSE,,,1000039,185139,40.67483467,-73.94308065,"(40.674834672, -73.943080645)"
979322165,11/15/16,13:50:00,11/15/16,14:00:00,11/15/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BROOKLYN,76,INSIDE,RESIDENCE - PUBLIC HOUSING,,RED HOOK WEST,982151,185171,40.67493634,-74.00756854,"(40.674936335, -74.007568544)"
639503870,11/10/16,8:30:00,11/10/16,8:35:00,11/10/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,77,INSIDE,RESIDENCE - APT. HOUSE,,,999271,185194,40.67498697,-73.94584923,"(40.674986972, -73.945849231)"
597547666,11/25/16,9:00:00,11/25/16,9:10:00,11/25/16,106,FELONY ASSAULT,105,STRANGULATION 1ST,COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,113,REAR OF,RESIDENCE-HOUSE,,,1051638,185283,40.67498752,-73.75706064,"(40.674987517, -73.757060643)"
170381530,12/8/16,21:40:00,12/8/16,21:50:00,12/8/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,113,FRONT OF,STREET,,,1051638,185283,40.67498752,-73.75706064,"(40.674987517, -73.757060643)"
315872964,12/9/16,7:55:00,12/9/16,8:00:00,12/9/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,75,INSIDE,GROCERY/BODEGA,,,1012911,185227,40.6750439,-73.89667556,"(40.675043898, -73.896675557)"
373021130,11/5/16,4:40:00,11/5/16,4:50:00,11/5/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BROOKLYN,77,INSIDE,RESIDENCE - PUBLIC HOUSING,,,1005710,185258,40.67514937,-73.9226358,"(40.67514937, -73.922635797)"
135025113,12/26/16,21:00:00,12/26/16,21:05:00,12/26/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BROOKLYN,77,INSIDE,RESIDENCE - PUBLIC HOUSING,,,1005710,185258,40.67514937,-73.9226358,"(40.67514937, -73.922635797)"
349016542,11/24/16,5:00:00,11/24/16,5:40:00,11/24/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,105,INSIDE,BAR/NIGHT CLUB,,,1056858,185420,40.67532228,-73.73824063,"(40.675322275, -73.738240628)"
795824847,11/24/16,17:30:00,11/24/16,17:35:00,11/24/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,73,,STREET,,,1009715,185349,40.67538853,-73.908197,"(40.675388531, -73.908197)"
732729238,12/13/16,0:00:00,12/13/16,0:05:00,12/13/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. TRANSIT POLICE,BROOKLYN,75,,TRANSIT - NYC SUBWAY,,,1019779,185370,40.6754115,-73.87191498,"(40.675411501, -73.87191498)"
970744828,11/19/16,5:45:00,11/19/16,6:15:00,11/19/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BROOKLYN,77,INSIDE,RESIDENCE - PUBLIC HOUSING,,,1005078,185394,40.67552417,-73.92491381,"(40.675524169, -73.924913805)"
813473485,12/13/16,10:24:00,12/13/16,10:30:00,12/13/16,106,FELONY ASSAULT,106,"ASSAULT 2,1,PEACE OFFICER",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,77,INSIDE,DOCTOR/DENTIST OFFICE,,,995731,185388,40.67552476,-73.95861095,"(40.675524756, -73.958610954)"
169139533,11/25/16,9:00:00,11/25/16,9:30:00,11/25/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,75,INSIDE,RESIDENCE - APT. HOUSE,,,1015122,185421,40.67556895,-73.88870379,"(40.67556895, -73.888703792)"
769322146,11/3/16,15:30:00,11/3/16,15:35:00,11/3/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BROOKLYN,77,FRONT OF,RESIDENCE - PUBLIC HOUSING,,,1004448,185438,40.6756464,-73.9271849,"(40.675646399, -73.927184904)"
515491490,12/15/16,17:20:00,12/15/16,17:30:00,12/15/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,105,,STREET,,,1054003,185618,40.67588869,-73.74853115,"(40.675888694, -73.74853115)"
939831656,11/12/16,23:20:00,11/12/16,23:25:00,11/13/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BROOKLYN,73,FRONT OF,RESIDENCE - PUBLIC HOUSING,,OCEAN HILL-BROWNSVILLE,1007015,185541,40.67592288,-73.91793018,"(40.675922882, -73.917930176)"
300944254,11/24/16,21:20:00,11/24/16,21:29:00,11/24/16,106,FELONY ASSAULT,105,STRANGULATION 1ST,COMPLETED,FELONY,N.Y. HOUSING POLICE,BROOKLYN,73,INSIDE,RESIDENCE - PUBLIC HOUSING,,OCEAN HILL-BROWNSVILLE,1007015,185541,40.67592288,-73.91793018,"(40.675922882, -73.917930176)"
761796513,12/9/16,23:40:00,12/9/16,23:55:00,12/9/16,106,FELONY ASSAULT,105,STRANGULATION 1ST,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,75,INSIDE,RESIDENCE - APT. HOUSE,,,1018376,185581,40.67599617,-73.8769719,"(40.675996168, -73.876971895)"
233838323,12/13/16,10:19:00,12/13/16,10:46:00,12/13/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,77,INSIDE,PUBLIC SCHOOL,,,1002388,185584,40.6760516,-73.93461109,"(40.676051596, -73.934611088)"
940102695,12/26/16,3:00:00,12/26/16,3:15:00,12/26/16,106,FELONY ASSAULT,105,STRANGULATION 1ST,COMPLETED,FELONY,N.Y. HOUSING POLICE,BROOKLYN,73,INSIDE,RESIDENCE - PUBLIC HOUSING,,OCEAN HILL-BROWNSVILLE,1006334,185589,40.67605636,-73.92038513,"(40.676056356, -73.920385125)"
664576453,11/9/16,20:20:00,11/9/16,20:26:00,11/9/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,73,FRONT OF,STREET,,,1010658,185620,40.6761296,-73.90479631,"(40.676129601, -73.90479631)"
938066337,11/18/16,19:50:00,11/18/16,19:55:00,11/18/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,77,,STREET,,,993599,185629,40.67618876,-73.96629676,"(40.676188755, -73.966296755)"
308085236,11/14/16,20:10:00,11/14/16,20:20:00,11/14/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,105,INSIDE,RESIDENCE - APT. HOUSE,,,1052363,185765,40.67630495,-73.75444209,"(40.676304945, -73.754442085)"
496624408,11/2/16,17:45:00,11/2/16,17:50:00,11/2/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",ATTEMPTED,FELONY,N.Y. HOUSING POLICE,BROOKLYN,76,INSIDE,RESIDENCE - PUBLIC HOUSING,,RED HOOK EAST,982604,185673,40.67631431,-74.00593556,"(40.676314308, -74.005935557)"
422704360,11/22/16,0:12:00,11/22/16,0:20:00,11/22/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,77,INSIDE,RESIDENCE - APT. HOUSE,,,1000083,185748,40.67650616,-73.94292059,"(40.676506162, -73.942920589)"
205826911,12/14/16,19:30:00,12/14/16,19:40:00,12/14/16,106,FELONY ASSAULT,105,STRANGULATION 1ST,COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,113,INSIDE,RESIDENCE - APT. HOUSE,,,1046125,185873,40.67664718,-73.77693008,"(40.676647179, -73.77693008)"
